"countryCode","name","level","slug","parentId"
VN,An Giang,2,an-giang,erncgSvLqSGAjRxURiQs
VN,Bắc Giang,2,bac-giang,erncgSvLqSGAjRxURiQs
VN,Bắc Kạn,2,bac-kan,erncgSvLqSGAjRxURiQs
VN,Bạc Liêu,2,bac-lieu,erncgSvLqSGAjRxURiQs
VN,Bắc Ninh,2,bac-ninh,erncgSvLqSGAjRxURiQs
VN,Bà Rịa-Vũng Tàu,2,ba-ria-vung-tau,erncgSvLqSGAjRxURiQs
VN,Bến Tre,2,ben-tre,erncgSvLqSGAjRxURiQs
VN,Bình Định,2,binh-dinh,erncgSvLqSGAjRxURiQs
VN,Bình Dương,2,binh-duong,erncgSvLqSGAjRxURiQs
VN,Bình Phước,2,binh-phuoc,erncgSvLqSGAjRxURiQs
VN,Bình Thuận,2,binh-thuan,erncgSvLqSGAjRxURiQs
VN,Cà Mau,2,ca-mau,erncgSvLqSGAjRxURiQs
VN,Cần Thơ,2,can-tho,erncgSvLqSGAjRxURiQs
VN,Cao Bằng,2,cao-bang,erncgSvLqSGAjRxURiQs
VN,Đắk Lắk,2,dak-lak,erncgSvLqSGAjRxURiQs
VN,Ðắk Nông,2,dak-nong,erncgSvLqSGAjRxURiQs
VN,Đà Nẵng,2,da-nang,erncgSvLqSGAjRxURiQs
VN,Ðiện Biên,2,dien-bien,erncgSvLqSGAjRxURiQs
VN,Đồng Nai,2,dong-nai,erncgSvLqSGAjRxURiQs
VN,Đồng Tháp,2,dong-thap,erncgSvLqSGAjRxURiQs
VN,Gia Lai,2,gia-lai,erncgSvLqSGAjRxURiQs
VN,Hà Giang,2,ha-giang,erncgSvLqSGAjRxURiQs
VN,Hải Dương,2,hai-duong,erncgSvLqSGAjRxURiQs
VN,Hải Phòng,2,hai-phong,erncgSvLqSGAjRxURiQs
VN,Hà Nam,2,ha-nam,erncgSvLqSGAjRxURiQs
VN,Hà Nội,2,ha-noi,erncgSvLqSGAjRxURiQs
VN,Hà Tĩnh,2,ha-tinh,erncgSvLqSGAjRxURiQs
VN,Hậu Giang,2,hau-giang,erncgSvLqSGAjRxURiQs
VN,Hòa Bình,2,hoa-binh,erncgSvLqSGAjRxURiQs
VN,Hưng Yên,2,hung-yen,erncgSvLqSGAjRxURiQs
VN,Khánh Hòa,2,khanh-hoa,erncgSvLqSGAjRxURiQs
VN,Kiến Giang,2,kien-giang,erncgSvLqSGAjRxURiQs
VN,Kon Tum,2,kon-tum,erncgSvLqSGAjRxURiQs
VN,Lai Châu,2,lai-chau,erncgSvLqSGAjRxURiQs
VN,Lâm Đồng,2,lam-dong,erncgSvLqSGAjRxURiQs
VN,Lạng Sơn,2,lang-son,erncgSvLqSGAjRxURiQs
VN,Lào Cai,2,lao-cai,erncgSvLqSGAjRxURiQs
VN,Long An,2,long-an,erncgSvLqSGAjRxURiQs
VN,Nam Định,2,nam-dinh,erncgSvLqSGAjRxURiQs
VN,Nghệ An,2,nghe-an,erncgSvLqSGAjRxURiQs
VN,Ninh Bình,2,ninh-binh,erncgSvLqSGAjRxURiQs
VN,Ninh Thuận,2,ninh-thuan,erncgSvLqSGAjRxURiQs
VN,Phú Thọ,2,phu-tho,erncgSvLqSGAjRxURiQs
VN,Phú Yên,2,phu-yen,erncgSvLqSGAjRxURiQs
VN,Quảng Bình,2,quang-binh,erncgSvLqSGAjRxURiQs
VN,Quảng Nam,2,quang-nam,erncgSvLqSGAjRxURiQs
VN,Quảng Ngãi,2,quang-ngai,erncgSvLqSGAjRxURiQs
VN,Quảng Ninh,2,quang-ninh,erncgSvLqSGAjRxURiQs
VN,Quảng Trị,2,quang-tri,erncgSvLqSGAjRxURiQs
VN,Sóc Trăng,2,soc-trang,erncgSvLqSGAjRxURiQs
VN,Sơn La,2,son-la,erncgSvLqSGAjRxURiQs
VN,Tây Ninh,2,tay-ninh,erncgSvLqSGAjRxURiQs
VN,Thái Bình,2,thai-binh,erncgSvLqSGAjRxURiQs
VN,Thái Nguyên,2,thai-nguyen,erncgSvLqSGAjRxURiQs
VN,Thanh Hóa,2,thanh-hoa,erncgSvLqSGAjRxURiQs
VN,Thành phố Hồ Chí Minh,2,thanh-pho-ho-chi-minh,erncgSvLqSGAjRxURiQs
VN,Thừa Thiên-Huế,2,thua-thien-hue,erncgSvLqSGAjRxURiQs
VN,Tiền Giang,2,tien-giang,erncgSvLqSGAjRxURiQs
VN,Trà Vinh,2,tra-vinh,erncgSvLqSGAjRxURiQs
VN,Tuyên Quang,2,tuyen-quang,erncgSvLqSGAjRxURiQs
VN,Vĩnh Long,2,vinh-long,erncgSvLqSGAjRxURiQs
VN,Vĩnh Phúc,2,vinh-phuc,erncgSvLqSGAjRxURiQs
